SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O	302.414	49.69	1	3	2	1	3.617800000000003	4
Cc1[nH]c2ccc(O)cc2c1CCN	190.24599999999992	62.03999999999999	2	2	3	2	1.68312	2
Cc1[nH]c2ccc(O)cc2c1CCN	190.24599999999992	62.03999999999999	2	2	3	2	1.68312	2
Cc1ccc(cc1O)[N+]([O-])=O	153.137	63.37	1	3	1	1	1.6088200000000001	1
Cc1ncc[nH]1	82.106	28.68	1	1	1		0.7181199999999999	1
CCCCCCCCCCC(CO)CCCCCCCC	298.555	20.23		1	1	17	6.8763000000000085	
CCCCCCCCCCC(CO)CCCCCCCC	298.555	20.23		1	1	17	6.8763000000000085	
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO	356.547	66.76		4	2	18	4.920300000000006	
OC(=O)CCC(=O)C(O)=O	146.098	91.66999999999999		3	2	4	-0.49509999999999993	
CC(=O)C(O)=O	88.06199999999998	54.37		2	1	1	-0.3399999999999999	
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1	308.381	54.12	3	2	2	5	3.522100000000002	3
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1	308.381	54.12	3	2	2	5	3.522100000000002	3
O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12	361.449	51.18000000000001	2	4	1	3	2.485100000000001	5
NCCc1ccccn1	122.17099999999996	38.91	1	2	1	2	0.5827999999999998	1
NCCc1ccccn1	122.17099999999996	38.91	1	2	1	2	0.5827999999999998	1
Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O	315.35	90.55	2	6	2	5	2.852180000000002	2
Oc1ccnc(S)n1	128.15599999999998	46.010000000000005	1	4	2		0.47089999999999993	1
Oc1ccnc(S)n1	128.15599999999998	46.010000000000005	1	4	2		0.47089999999999993	1
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O	170.252	40.46		2	2		1.1643	2
CC1(C)C2CC1[C@](C)(O)[C@H](O)C2	170.25199999999998	40.46		2	2		1.1643	3
OCCNCCCOc1cccc(Cl)c1Cl	264.15200000000004	41.489999999999995	1	3	2	7	2.3442	1
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O	202.55299999999997	86.28	1	4		2	2.1564000000000005	1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O	184.107	106.50999999999999	1	5	1	2	1.2086000000000003	1
OCc1ccc(CO)o1	128.12699999999998	53.6	1	3	2	2	0.26420000000000005	1
CC1CCCC(C)N1	113.204	12.03		1	1		1.5369	1
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(O)nc(N)nc12	297.2710000000001	159.76999999999998	2	10	5	2	-1.884300000000001	3
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12	383.83600000000024	125.55	2	9	4	4	0.8357999999999988	4
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12	383.83600000000024	125.55	2	9	4	4	0.8357999999999988	4
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C	480.64200000000034	138.45000000000002		7	6	5	1.8539999999999994	4
Cc1ccc(cc1)\C=C1\C2CCC(C)(C1=O)C2(C)C	254.37299999999993	17.07	1	1		1	4.403620000000004	3
